"","date","plant_id","length"
"100","2022-03-08","G04",4.51270321697342
"101","2022-03-08","G05",4.84002163675137
"102","2022-03-08","G06",4.84002163675137
"103","2022-03-08","G07",9.56919570885081
"104","2022-03-08","G08",9.56919570885081
"105","2022-03-08","G09",5.1931784760548
"106","2022-03-08","G10",8.61736462020095
"107","2022-03-08","G11",6.25629505969531
"108","2022-03-11","A01",6.6705217
"109","2022-03-11","A02",7.6645966
"110","2022-03-11","A03",14.412917
"111","2022-03-11","A04",11.089676
"112","2022-03-11","A05",7.563406
"113","2022-03-11","A06",17.478628
"114","2022-03-11","A07",20.697096
"115","2022-03-11","A08",16.7038
"116","2022-03-11","A09",18.886475
"117","2022-03-11","A10",18.018984
"118","2022-03-11","A11",9.40559
"119","2022-03-11","A12",20.027664
"120","2022-03-11","C01",15.771222
"121","2022-03-11","C02",17.00674
"122","2022-03-11","C03",9.027787
"123","2022-03-11","C04",9.800077
"124","2022-03-11","D01",16.490204
"125","2022-03-11","D02",17.810068
"126","2022-03-11","D03",19.716885
"127","2022-03-11","D04",17.715942
"128","2022-03-11","D05",8.8741455
"129","2022-03-11","D06",11.967993
"130","2022-03-11","D07",16.676311
"131","2022-03-11","D08",18.568487
"132","2022-03-11","E01",8.132861
"133","2022-03-11","E03",6.4660745
"134","2022-03-11","E04",6.5094795
"135","2022-03-11","E05",15.054573
"136","2022-03-11","E06",11.132612
"137","2022-03-11","E07",14.846674
"138","2022-03-11","F01",12.153602
"139","2022-03-11","F02",10.822248
"140","2022-03-11","F03",18.304605
"141","2022-03-11","F04",16.935068
"142","2022-03-11","F05",4.998371
"143","2022-03-11","F06",6.0082335
"144","2022-03-11","F07",14.340158
"145","2022-03-11","G01",5.5000877
"146","2022-03-11","G02",14.07285
"147","2022-03-11","G03",9.894095
"148","2022-03-11","G04",5.0816474
"149","2022-03-11","G05",7.2340546
"150","2022-03-11","G06",15.235065
"151","2022-03-11","G07",12.225777
"152","2022-03-11","G08",15.20635
"153","2022-03-11","G09",9.104751
"154","2022-03-11","G10",12.490377
"155","2022-03-11","G11",11.501085
"156","2022-03-15","A01",12.767776
"157","2022-03-15","A02",7.332907
"158","2022-03-15","A03",26.03963
"159","2022-03-15","A04",20.106169
"160","2022-03-15","A05",14.581477
"161","2022-03-15","A06",30.526644
"162","2022-03-15","A07",33.315983
"163","2022-03-15","A08",27.060024
"164","2022-03-15","A09",23.860685
"165","2022-03-15","A10",25.337826
"166","2022-03-15","A11",15.975821
"167","2022-03-15","A12",33.933674
"168","2022-03-15","C01",24.895496
"169","2022-03-15","C02",20.070751
"170","2022-03-15","C03",15.507982
"171","2022-03-15","C04",15.43402
"172","2022-03-15","D01",24.105297
"173","2022-03-15","D02",23.128242
"174","2022-03-15","D03",29.438501
"175","2022-03-15","D04",21.912807
"176","2022-03-15","D05",14.708
"177","2022-03-15","D06",16.10498
"178","2022-03-15","D07",19.936096
"179","2022-03-15","D08",30.05117
"180","2022-03-15","E01",12.90492
"181","2022-03-15","E03",11.945694
"182","2022-03-15","E04",12.181384
"183","2022-03-15","E05",23.600132
"184","2022-03-15","E06",20.011883
"185","2022-03-15","E07",26.7369
"186","2022-03-15","F01",24.25549
"187","2022-03-15","F02",19.406261
"188","2022-03-15","F03",27.751307
"189","2022-03-15","F04",23.673664
"190","2022-03-15","F05",11.764678
"191","2022-03-15","F06",13.842687
"192","2022-03-15","G01",6.680855
"193","2022-03-15","G02",20.384836
"194","2022-03-15","G03",17.00203
"195","2022-03-15","G04",9.3039
"196","2022-03-15","G05",9.632526
"197","2022-03-15","G06",18.977627
"198","2022-03-15","G07",16.246758
"199","2022-03-15","G08",21.207785
"200","2022-03-15","G09",15.695484
"201","2022-03-15","G10",16.29299
"202","2022-03-15","G11",16.085835
